City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,soto la marina,23.7667,-98.2167,101.73,25,10,18.81,MX,1690401751
320,mammoth lakes,37.6485,-118.9721,83.12,23,0,9.22,US,1690401752
321,wladyslawowo,54.7909,18.4009,58.55,73,100,11.43,PL,1690401752
322,nemuro,43.3236,145.575,61.12,99,54,1.9,JP,1690401463
323,antsiranana,-12.2787,49.2917,73.08,71,9,16.17,MG,1690401752
324,huarmey,-10.0681,-78.1522,73.29,68,9,10.78,PE,1690401752
325,cabedelo,-6.9811,-34.8339,83.07,81,8,15.37,BR,1690401752
326,sakaiminato,35.55,133.2333,76.98,100,20,3.44,JP,1690401753
327,yuzhno-kurilsk,44.0306,145.8556,65.1,97,89,3.38,RU,1690401753
328,piritiba,-11.7303,-40.5553,73.04,66,85,8.1,BR,1690401753
329,maisi,43.0395,41.2621,68.31,79,0,4.27,GE,1690401753
330,mount gambier,-37.8333,140.7667,45.1,79,4,9.44,AU,1690401754
331,lubango,-14.9172,13.4925,62.46,36,69,5.75,AO,1690401754
332,ribeira brava,32.65,-17.0667,75.0,73,55,3.27,PT,1690401754
333,hwange,-18.3693,26.5019,62.17,50,0,1.72,ZW,1690401755
334,ndelele,4.0333,14.9333,69.64,98,62,2.26,CM,1690401755
335,thisted,56.9552,8.6949,57.15,85,100,22.66,DK,1690401755
336,la passe,45.5549,-0.8967,68.23,86,3,6.91,FR,1690401755
337,lask,51.5906,19.1328,57.13,98,100,5.86,PL,1690401755
338,rehoboth,-23.3167,17.0833,58.64,20,10,8.59,NA,1690401755
339,novo aripuana,-5.1206,-60.3797,99.03,24,49,3.42,BR,1690401756
340,hargeysa,9.56,44.065,73.44,50,8,25.08,SO,1690401469
341,loughrea,53.1969,-8.5669,60.89,98,100,13.29,IE,1690401756
342,onega,63.9061,38.1404,55.29,84,100,4.23,RU,1690401756
343,nuuk,64.1835,-51.7216,40.87,93,100,18.99,GL,1690401518
344,gbawe,5.5771,-0.3104,79.21,89,40,12.66,GH,1690401756
345,key west,24.5557,-81.7826,84.0,72,99,10.0,US,1690401756
346,bonnyville,54.2668,-110.735,60.6,91,100,10.4,CA,1690401648
347,ballycastle,55.2044,-6.243,61.54,99,100,12.3,GB,1690401757
